ID,Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.high,q.start,q.end,btype,force.cmsy,Comment,Match
1,1,1.CaboSanLucas,1.CaboSanLucasGUACHINANGO,NA,GUACHINANGO,RED SNAPPER,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.3,0.5,2011,0.2,0.4,0.3,0.6,NA,NA,None,TRUE,NA,1
2,1,1.CaboSanLucas,1.CaboSanLucasLANGOSTA,NA,LANGOSTA,LOBSTER,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.3,0.5,2011,0.2,0.4,0.3,0.6,NA,NA,None,TRUE,NA,1
3,1,1.CaboSanLucas,1.CaboSanLucasTIBURON,NA,TIBURON,SHARKS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very low,NA,NA,0.3,0.5,2011,0.4,0.6,0.3,0.6,NA,NA,None,TRUE,NA,1
4,1,1.CaboSanLucas,1.CaboSanLucasPARGO,NA,PARGO,SNAPPER,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.1,0.3,2008,0.2,0.4,0.1,0.4,NA,NA,None,TRUE,NA,1
5,1,1.CaboSanLucas,1.CaboSanLucasCABRILLA,NA,CABRILLA,GROUPERS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.1,0.3,2007,0.1,0.3,0.1,0.4,NA,NA,None,TRUE,NA,1
6,1,1.CaboSanLucas,1.CaboSanLucasMERO,NA,MERO,SEA BASS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very low,NA,NA,0.1,0.3,2008,0.2,0.4,0.1,0.4,NA,NA,None,TRUE,NA,1
7,1,1.CaboSanLucas,1.CaboSanLucasJUREL,NA,JUREL,JACKS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.3,0.5,2008,0.4,0.6,0.3,0.6,NA,NA,None,TRUE,NA,1
8,1,1.CaboSanLucas,1.CaboSanLucasPIERNA,NA,PIERNA,OCEAN WHITEFISH,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,TRUE,NA,1
9,1,1.CaboSanLucas,1.CaboSanLucasALMEJA,NA,ALMEJA,CLAMS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.1,0.3,2004,0.1,0.3,0.01,0.4,NA,NA,None,TRUE,NA,1
10,1,1.CaboSanLucas,1.CaboSanLucasCAZON,NA,CAZON,SMALL SHARKS,NA,CONAPESCA,2001,2016,2001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very low,NA,NA,0.1,0.3,2011,0.1,0.3,0.1,0.4,NA,NA,None,TRUE,NA,1
