,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
2,Atrina,IUU_0,0.282239296,0.163449697,0.487361077,15693.05715,4802.158559,51283.61336,1107.299351,317.1547012,3865.974078,7846.528576,2401.079279,25641.80668,2015,381.228,607.3874,2525.694914,223.8181146,4642.051816,0.32188692,0.028524476,0.5916058,0.16094346,0.014262238,0.2958029,0.150939845,0.082124891,1.703293769,0.090849138,0.052612319,0.156875156,1.661433992,0.903969958,18.74859589,1.06958774
3,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,2015,457.4736,728.86488,2950.015427,278.1809698,5492.73774,0.31770191,0.029958699,0.591540389,0.158850955,0.01497935,0.295770195,0.155074986,0.083286991,1.644517956,0.089667964,0.051928281,0.154835545,1.729435792,0.928837769,18.34008369,1.09889011
4,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,2015,533.7192,850.34236,3551.303724,336.2760588,6433.239985,0.32625607,0.030893473,0.591017766,0.163128035,0.015446736,0.295508883,0.150288244,0.082962737,1.587145995,0.092082284,0.053326456,0.159004509,1.632108133,0.900963077,17.23617112,1.06497037
5,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,2015,609.9648,971.81984,3944.029547,357.2201644,7294.544905,0.319447986,0.028933166,0.590824093,0.159723993,0.014466583,0.295412047,0.154655231,0.083619308,1.707531827,0.090160775,0.052213677,0.155686515,1.715327215,0.927446648,18.93874393,1.09591565
6,Atrina,IUU_60_legal,0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,2015,609.9648,971.81984,3944.029547,357.2201644,7294.544905,0.319447986,0.028933166,0.590824093,0.159723993,0.014466583,0.295412047,0.061862092,0.033447723,0.683012731,0.090160775,0.052213677,0.155686515,1.715327215,0.927446648,18.93874393,1.09591565
7,Atrina,IUU_40_legal,0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,2015,533.7192,850.34236,3551.303724,336.2760588,6433.239985,0.32625607,0.030893473,0.591017766,0.163128035,0.015446736,0.295508883,0.090172946,0.049777642,0.952287597,0.092082284,0.053326456,0.159004509,1.632108133,0.900963077,17.23617112,1.06497037
8,Atrina,IUU_20_legal,0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,2015,457.4736,728.86488,2950.015427,278.1809698,5492.73774,0.31770191,0.029958699,0.591540389,0.158850955,0.01497935,0.295770195,0.124059989,0.066629593,1.315614365,0.089667964,0.051928281,0.154835545,1.729435792,0.928837769,18.34008369,1.09889011
9,Callinectes,IUU_0,0.5,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,2015,796.56,1072.65698,1814.644371,167.0461464,2518.925784,0.567461407,0.052237365,0.787698786,0.283730703,0.026118683,0.393849393,0.438962043,0.316230039,4.7685027,0.595623108,0.478716277,0.741079642,0.736979537,0.530923054,8.00590614,0.736979537
10,Callinectes,IUU_20,0.5,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,2015,955.872,1287.188376,2137.038218,220.1352203,2982.849045,0.565618948,0.05826412,0.789483278,0.282809474,0.02913206,0.394741639,0.44728821,0.320456042,4.342203846,0.597114029,0.481055717,0.741172283,0.749083406,0.536674784,7.271984303,0.749083406
11,Callinectes,IUU_40,0.5,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,2015,1115.184,1501.719772,2612.351454,189.7123767,3573.953881,0.577263223,0.04192161,0.789752899,0.288631611,0.020960805,0.39487645,0.426888962,0.312030887,5.878288067,0.595623108,0.478716277,0.741079642,0.716709872,0.523873038,9.869140376,0.716709872
