,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
1,Atrina,IUU_0,0.282239296,0.163449697,0.487361077,15693.05715,4802.158559,51283.61336,0.150939845,0.082124891,1.703293769,2525.694914,223.8181146,4642.051816,0.02,1107.299351,317.1547012,3865.974078,7846.528576,2401.079279,25641.80668,0.090849138,0.052612319,0.156875156,22500,25000,23750,1.7,86841857.28,40689980.48,184827262.2,18408851.71,4995186.544,67654546.37
2,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,0.155074986,0.083286991,1.644517956,2950.015427,278.1809698,5492.73774,0.02,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,0.089667964,0.051928281,0.154835545,22500,25000,23750,1.7,104121281.7,48518674.96,222825752.6,21784801.12,5878813.237,80503142.63
3,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,0.150288244,0.082962737,1.587145995,3551.303724,336.2760588,6433.239985,0.02,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,0.092082284,0.053326456,0.159004509,22500,25000,23750,1.7,118857197.8,55197014.9,255229391.7,25537498.56,6868076.101,94692789.57
4,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,0.154655231,0.083619308,1.707531827,3944.029547,357.2201644,7294.544905,0.02,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,0.090160775,0.052213677,0.155686515,22500,25000,23750,1.7,137687565.9,63280132.03,298756500.3,28966041.17,7709539.541,108528836.2
5,Atrina,IUU_40_legal,0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,0.090172946,0.049777642,0.952287597,3551.303724,336.2760588,6433.239985,0.02,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,0.092082284,0.053326456,0.159004509,22500,25000,23750,1.7,118857197.8,55197014.9,255229391.7,25537498.56,6868076.101,94692789.57
6,Atrina,IUU_60_legal,0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,0.061862092,0.033447723,0.683012731,3944.029547,357.2201644,7294.544905,0.02,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,0.090160775,0.052213677,0.155686515,22500,25000,23750,1.7,137687565.9,63280132.03,298756500.3,28966041.17,7709539.541,108528836.2
7,Atrina,IUU_20_legal,0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,0.124059989,0.066629593,1.315614365,2950.015427,278.1809698,5492.73774,0.02,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,0.089667964,0.051928281,0.154835545,22500,25000,23750,1.7,104121281.7,48518674.96,222825752.6,21784801.12,5878813.237,80503142.63
8,Callinectes,IUU_20_legal,0.5,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.357830568,0.256364834,3.473763077,2137.038218,220.1352203,2982.849045,0.46,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1983570.51,1699103.454,2268405.127,2763641.485,1907181.337,3922984.349
9,Callinectes,IUU_0,0.5,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,0.438962043,0.316230039,4.7685027,1814.644371,167.0461464,2518.925784,0.46,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,1678860.067,1417210.07,1948228.651,2333258.32,1583030.233,3368849.379
10,Callinectes,IUU_20,0.5,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.44728821,0.320456042,4.342203846,2137.038218,220.1352203,2982.849045,0.46,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1983570.51,1699103.454,2268405.127,2763641.485,1907181.337,3922984.349
11,Callinectes,IUU_60,0.5,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.444578638,0.316347164,4.004594204,2866.750426,318.258464,4028.789084,0.46,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2689656.179,2210683.979,3205619.915,3738049.869,2469344.276,5543112.537
12,Callinectes,IUU_40_legal,0.5,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.256133377,0.187218532,3.52697284,2612.351454,189.7123767,3573.953881,0.46,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2375839.063,1973402.405,2801970.388,3301910.843,2204299.655,4845127.494
13,Callinectes,IUU_40,0.5,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.426888962,0.312030887,5.878288067,2612.351454,189.7123767,3573.953881,0.46,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2375839.063,1973402.405,2801970.388,3301910.843,2204299.655,4845127.494
14,Callinectes,IUU_60_legal,0.5,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.177831455,0.126538866,1.601837682,2866.750426,318.258464,4028.789084,0.46,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2689656.179,2210683.979,3205619.915,3738049.869,2469344.276,5543112.537
15,Cephalopholis,IUU_60,0.453277844,0.39167906,0.524564177,2426.258773,1607.834656,3661.27923,0.544877607,0.383581372,6.368300243,674.6391987,57.72274829,958.3254519,0.09,274.9423362,163.4289128,462.5453779,1213.129386,803.9173282,1830.639615,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,454923.5196,250351.2638,793593.7252,240574.5442,114400.239,485672.6468
16,Cephalopholis,IUU_40,0.453277844,0.39167906,0.524564177,2133.601265,1409.249087,3230.269511,0.55492658,0.38152561,6.763045254,579.619592,47.55939165,843.053021,0.09,241.7785452,142.7916111,409.3858489,1066.800633,704.6245435,1615.134756,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,400050.237,218737.6743,702387.3903,211556.2271,99954.12777,429855.1413
17,Cephalopholis,IUU_60_legal,0.453277844,0.39167906,0.524564177,2426.258773,1607.834656,3661.27923,0.217951043,0.153432549,2.547320097,674.6391987,57.72274829,958.3254519,0.09,274.9423362,163.4289128,462.5453779,1213.129386,803.9173282,1830.639615,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,454923.5196,250351.2638,793593.7252,240574.5442,114400.239,485672.6468
18,Cephalopholis,IUU_0,0.453277844,0.39167906,0.524564177,1512.737076,1003.945535,2279.380089,0.555490616,0.383675098,6.635210564,413.5936116,34.62548291,598.8070929,0.09,171.42255,102.1914109,287.5553864,756.3685382,501.9727674,1139.690044,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,283638.2016,156543.5909,493361.6488,149994.7313,71533.98763,301933.1557
19,Cephalopholis,IUU_20,0.453277844,0.39167906,0.524564177,1829.079691,1204.680202,2777.112555,0.556849493,0.380322602,6.995680959,495.1011851,39.40957937,724.9026029,0.09,207.2703245,121.7308804,352.9177419,914.5398453,602.3401012,1388.556277,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,342952.4417,186475.4481,605504.495,181361.5339,85211.61628,370563.629
20,Cephalopholis,IUU_40_legal,0.453277844,0.39167906,0.524564177,2133.601265,1409.249087,3230.269511,0.332955948,0.228915366,4.057827152,579.619592,47.55939165,843.053021,0.09,241.7785452,142.7916111,409.3858489,1066.800633,704.6245435,1615.134756,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,400050.237,218737.6743,702387.3903,211556.2271,99954.12777,429855.1413
21,Cephalopholis,IUU_20_legal,0.453277844,0.39167906,0.524564177,1829.079691,1204.680202,2777.112555,0.445479595,0.304258081,5.596544767,495.1011851,39.40957937,724.9026029,0.09,207.2703245,121.7308804,352.9177419,914.5398453,602.3401012,1388.556277,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,342952.4417,186475.4481,605504.495,181361.5339,85211.61628,370563.629
22,Dasyatis,IUU_20,0.609570907,0.42284483,0.87875425,1135.749931,699.0311778,1845.308116,0.250589059,0.180575742,0.342972045,475.0488331,347.0896294,659.2360554,0.26,173.080029,136.9111272,218.8039573,567.8749655,349.5155889,922.6540579,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,212953.1118,242839.3068,186745.0063,151445.0254,119797.2363,191453.4626
23,Dasyatis,IUU_60_legal,0.609570907,0.42284483,0.87875425,1510.700763,925.0989447,2466.997512,0.100864785,0.072555951,0.13775551,629.4475098,460.8823846,875.0362619,0.26,230.2198086,180.3077768,293.9482769,755.3503814,462.5494724,1233.498756,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,283256.3926,319811.957,250879.2506,201442.3325,157769.3047,257204.7423
24,Dasyatis,IUU_40,0.609570907,0.42284483,0.87875425,1323.909335,816.4588358,2146.753579,0.250858647,0.180984524,0.343521343,553.6280362,404.2903962,767.3715805,0.26,201.7541537,160.2153879,254.0626031,661.9546676,408.2294179,1073.376789,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,248233.0001,284174.0809,216837.5884,176534.8845,140188.4644,222304.7777
25,Dasyatis,IUU_60,0.609570907,0.42284483,0.87875425,1510.700763,925.0989447,2466.997512,0.252161964,0.181389877,0.344388775,629.4475098,460.8823846,875.0362619,0.26,230.2198086,180.3077768,293.9482769,755.3503814,462.5494724,1233.498756,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,283256.3926,319811.957,250879.2506,201442.3325,157769.3047,257204.7423
