OBJECTID,Nombre_com,species,SNAME,NAME,Marxan_ID,Shape_Length,Shape_Area
1,Baya,Mycteroperca jordani,spawning5,Spawning Mycteroperca jordani,27,2120.292215030863600,289046.667048340310000
2,Baya,Mycteroperca jordani,spawning5,Spawning Mycteroperca jordani,27,1882.729244490324200,281465.444669373040000
3,Baya,Mycteroperca jordani,spawning5,Spawning Mycteroperca jordani,27,1882.698956000707100,281456.388577721080000
4,Baya,Mycteroperca jordani,spawning5,Spawning Mycteroperca jordani,27,1882.886852661522200,281512.571072474590000
5,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1882.564088000259100,281416.065492072610000
6,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1762.779196084743900,190742.690203651580000
7,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1882.954433369398200,281532.779551951510000
8,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1882.734869387941400,281467.126501803460000
9,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1817.706421612208300,165130.752052037420000
10,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1689.757999320532900,173263.689172101090000
11,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1795.502306542412000,133776.343807936790000
12,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1925.541877151214500,279891.409804872640000
13,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,2541.828818913938900,213508.782381521330000
14,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1875.909355072828700,210535.936840698790000
15,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1989.029818007867100,272219.565261245410000
16,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1994.266435142775000,242883.439874227890000
17,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1885.314971657442800,281429.196285720040000
18,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,1951.059802356286100,203497.352633136270000
19,Cabrilla sardinera,Mycteroperca rosacea,spawning6,Spawning Mycteroperca rosacea,28,2148.722863458657700,255398.947925038840000
