,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
2,Atrina,IUU_0,0.282239296,0.163449697,0.487361077,15532.0345,4744.828071,50843.59053,1095.937621,312.8583893,3839.050861,7766.017248,2372.414035,25421.79526,2008,499.08,628.9333333,3375.793384,1682.737064,6072.826616,0.434687856,0.216679542,0.781974392,0.217343928,0.108339771,0.390987196,0.147840802,0.082182488,0.296588226,0.122685994,0.071049598,0.211849941,1.205034058,0.669860389,2.417457894,1.047627341,0.02
3,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18550.24134,5618.437898,61246.81982,1308.901764,367.4225787,4662.815864,9275.120668,2809.218949,30623.40991,2008,598.896,754.72,4201.80472,2005.991251,7364.677637,0.453018874,0.216276566,0.794024994,0.226509437,0.108138283,0.397012497,0.14253304,0.081320056,0.298553645,0.127859728,0.074045798,0.220783766,1.114761012,0.636009927,2.335009229,1.010015557,0.02
4,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,22462.47672,6796.253151,74241.32812,1584.948405,444.0009043,5657.784524,11231.23836,3398.126576,37120.66406,2008,698.712,880.5066667,4781.331884,2417.610047,8866.114853,0.425717248,0.215257656,0.789415608,0.212858624,0.107628828,0.394707804,0.14613334,0.07880701,0.289009388,0.120154136,0.069583355,0.207478016,1.216215645,0.65588262,2.405322003,1.035527954,0.02
5,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24660.98562,7464.459638,81474.64666,1740.074806,487.844796,6206.605776,12330.49281,3732.229819,40737.32333,2008,798.528,1006.293333,5802.107085,2695.301009,9865.877749,0.470549489,0.218588263,0.800120312,0.235274744,0.109294132,0.400060156,0.137627243,0.080938364,0.296266724,0.132807556,0.076911171,0.229327505,1.036290753,0.609440951,2.230797192,0.975252168,0.02
6,Callinectes,IUU_0,1.194228058,0.962111433,1.482344565,6766.872806,4953.212367,9244.620296,2020.297342,1674.181427,2437.968362,3383.436403,2476.606184,4622.310148,2009,2326.338,2062.942,2655.942699,1979.689545,3395.371932,0.784983781,0.58511209,1.003527635,0.39249189,0.292556045,0.501763818,0.875899168,0.685149682,1.175102432,0.597114029,0.481055717,0.741172283,1.466887605,1.147435245,1.967969894,1.466887605,0.46
7,Callinectes,IUU_20,1.194228058,0.962111433,1.482344565,8098.21212,5920.474504,11076.99045,2417.778033,1998.765206,2924.630968,4049.10606,2960.237252,5538.495225,2009,2791.6056,2475.5304,3181.141874,2311.784244,4012.830487,0.785640541,0.570936945,0.991041091,0.39282027,0.285468473,0.495520546,0.877548286,0.695669954,1.207554558,0.597114029,0.481055717,0.741172283,1.46964942,1.165053776,2.022318182,1.46964942,0.46
8,Callinectes,IUU_40,1.191246217,0.957432554,1.482159284,9490.527605,6936.211201,12985.49188,2826.388776,2346.029561,3405.103518,4745.263802,3468.105601,6492.745939,2009,3256.8732,2888.1188,3698.536479,2755.74049,4790.637956,0.77941641,0.58073494,1.009561988,0.389708205,0.29036747,0.504780994,0.880584312,0.67984123,1.181850472,0.595623108,0.478716277,0.741079642,1.478425366,1.141394987,1.984225353,1.478425366,0.46
9,Callinectes,IUU_60,1.194228058,0.962111433,1.482344565,10817.78262,7899.69924,14813.7818,3229.724882,2664.038917,3915.529442,5408.89131,3949.84962,7406.890898,2009,3722.1408,3300.7072,4197.415008,2994.91,5420.708106,0.776021326,0.553701272,1.002184698,0.388010663,0.276850636,0.501092349,0.886769784,0.686652136,1.242822255,0.597114029,0.481055717,0.741172283,1.485092865,1.149951438,2.081381771,1.485092865,0.46
22,Cephalopholis,IUU_0,0.453277844,0.39167906,0.524564177,1523.177742,1004.653241,2309.324589,172.6056806,101.6591749,293.064753,761.5888709,502.3266207,1154.662294,2008,181.3379,150.0718333,571.1173381,340.6318906,742.9874443,0.749902421,0.447264795,0.975575501,0.37495121,0.223632398,0.48778775,0.317514262,0.244065901,0.532357378,0.226638922,0.19583953,0.262282089,1.400969698,1.076893143,2.348923006,1.400969698,0.09
31,Cephalopholis,IUU_20,0.453277844,0.39167906,0.524564177,1828.002501,1209.194115,2763.487766,207.148258,122.6958587,349.7298217,914.0012506,604.5970576,1381.743883,2008,217.60548,180.0862,684.6112821,409.6548348,886.9450917,0.749026636,0.448199425,0.970398116,0.374513318,0.224099712,0.485199058,0.317852606,0.245342673,0.531192266,0.226638922,0.19583953,0.262282089,1.402462574,1.082526653,2.343782179,1.402462574,0.09
