,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
1,Atrina,IUU_0,0.282239296,0.163449697,0.487361077,15532.0345,4744.828071,50843.59053,0.147840802,0.082182488,0.296588226,3375.793384,1682.737064,6072.826616,0.02,1095.937621,312.8583893,3839.050861,7766.017248,2372.414035,25421.79526,0.122685994,0.071049598,0.211849941,22500,25000,23750,1.7,63646674.69,29722815.99,135911680.3,18219962.95,4927519.631,67183390.07
2,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18550.24134,5618.437898,61246.81982,0.14253304,0.081320056,0.298553645,4201.80472,2005.991251,7364.677637,0.02,1308.901764,367.4225787,4662.815864,9275.120668,2809.218949,30623.40991,0.127859728,0.074045798,0.220783766,22500,25000,23750,1.7,72938721.32,33494168.11,158395336.8,21760491.83,5786905.615,81599277.62
3,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,22462.47672,6796.253151,74241.32812,0.14613334,0.07880701,0.289009388,4781.331884,2417.610047,8866.114853,0.02,1584.948405,444.0009043,5657.784524,11231.23836,3398.126576,37120.66406,0.120154136,0.069583355,0.207478016,22500,25000,23750,1.7,93985590.19,43070732.99,204519904.1,26349767.23,6993014.243,99011229.17
4,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24660.98562,7464.459638,81474.64666,0.137627243,0.080938364,0.296266724,5802.107085,2695.301009,9865.877749,0.02,1740.074806,487.844796,6206.605776,12330.49281,3732.229819,40737.32333,0.132807556,0.076911171,0.229327505,22500,25000,23750,1.7,93353370.59,42815007.63,202982818.5,28928743.65,7683555.537,108615601.1
5,Callinectes,IUU_0,1.194228058,0.962111433,1.482344565,6766.872806,4953.212367,9244.620296,0.875899168,0.685149682,1.175102432,2655.942699,1979.689545,3395.371932,0.46,2020.297342,1674.181427,2437.968362,3383.436403,2476.606184,4622.310148,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1776304.111,1566100.59,1973604.587,2474864.244,1757890.498,3413155.707
6,Callinectes,IUU_20,1.194228058,0.962111433,1.482344565,8098.21212,5920.474504,11076.99045,0.877548286,0.695669954,1.207554558,3181.141874,2311.784244,4012.830487,0.46,2417.778033,1998.765206,2924.630968,4049.10606,2960.237252,5538.495225,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2125780.681,1869730.077,2367571.779,2961778.09,2098703.466,4094483.355
7,Callinectes,IUU_40,1.191246217,0.957432554,1.482159284,9490.527605,6936.211201,12985.49188,0.880584312,0.67984123,1.181850472,3698.536479,2755.74049,4790.637956,0.46,2826.388776,2346.029561,3405.103518,4745.263802,3468.105601,6492.745939,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2491263.498,2205300.62,2756872.534,3462326.251,2463331.039,4767144.925
8,Callinectes,IUU_60,1.194228058,0.962111433,1.482344565,10817.78262,7899.69924,14813.7818,0.886769784,0.686652136,1.242822255,4197.415008,2994.91,5420.708106,0.46,3229.724882,2664.038917,3915.529442,5408.89131,3949.84962,7406.890898,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2839667.937,2492055.432,3169732.219,3956412.98,2797240.863,5481741.219
9,Cephalopholis,IUU_0,0.453277844,0.39167906,0.524564177,1523.177742,1004.653241,2309.324589,0.317514262,0.244065901,0.532357378,571.1173381,340.6318906,742.9874443,0.09,172.6056806,101.6591749,293.064753,761.5888709,502.3266207,1154.662294,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,285595.8264,155728.2765,502814.1241,151029.9705,71161.42243,307717.9907
10,Cephalopholis,IUU_20,0.453277844,0.39167906,0.524564177,1828.002501,1209.194115,2763.487766,0.317852606,0.245342673,0.531192266,684.6112821,409.6548348,886.9450917,0.09,207.148258,122.6958587,349.7298217,914.0012506,604.5970576,1381.743883,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,342750.4687,187953.666,600034.9485,181254.7258,85887.10109,367216.3128
