,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
2,Scomberomorus,MT,2005,4675.976,4675.976,11850.07735,5813.472028,17656.06785,0.810202752,0.397473442,1.207164675,0.405101376,0.198736721,0.603582337,0.394594555,0.264836771,0.80433448,0.282762719,0.203742736,0.392429969,1.395497102,0.936604273,2.844556318,1.395497102
3,Scomberomorus,MT,2006,4018.276,4347.126,10445.30104,5449.592621,14894.85552,0.714156659,0.372594609,1.018377567,0.35707833,0.186297305,0.509188783,0.384697002,0.269776098,0.737353465,0.282762719,0.203742736,0.392429969,1.360494069,0.95407237,2.607675674,1.360494069
4,Scomberomorus,MT,2007,3177.072,3957.108,8981.436649,5032.639878,12550.70466,0.614070649,0.344087094,0.858105408,0.307035325,0.172043547,0.429052704,0.353737617,0.253138934,0.631293333,0.282762719,0.203742736,0.392429969,1.251005147,0.895234473,2.232590399,1.251005147
5,Scomberomorus,MT,2008,2450.582,3215.31,7695.501454,4489.13473,10574.13351,0.526149853,0.306927053,0.722965076,0.263074927,0.153463526,0.361482538,0.318443446,0.231752512,0.545891836,0.282762719,0.203742736,0.392429969,1.126186106,0.819600661,1.930565095,1.126186106
6,Scomberomorus,MT,2009,2326.875,2651.509667,6877.837387,4106.68285,9307.947062,0.470245266,0.280778399,0.636394523,0.235122633,0.1403892,0.318197262,0.338314919,0.249987992,0.566606939,0.265935661,0.191618114,0.369076671,1.272168307,0.940031855,2.130616623,1.196462249
7,Scomberomorus,MT,2010,2074.513,2283.99,6351.009533,3756.632107,8674.212754,0.43422547,0.256845047,0.593065416,0.217112735,0.128422523,0.296532708,0.32664303,0.239158649,0.552226819,0.245565549,0.17694057,0.340806175,1.33016635,0.973909611,2.248795978,1.155184217
8,Scomberomorus,MT,2011,1333.292,1911.56,5908.370539,3385.018377,8380.680329,0.403961757,0.23143741,0.572996283,0.201980879,0.115718705,0.286498141,0.225661541,0.159091141,0.393880284,0.22845065,0.164608547,0.3170534,0.987791196,0.696391721,1.724137287,0.798059735
9,Scomberomorus,MT,2012,1378.372,1595.392333,5705.339645,2972.038515,8648.159919,0.390080313,0.203201525,0.591284155,0.195040157,0.101600762,0.295642077,0.241593329,0.159383269,0.463779992,0.22060034,0.15895206,0.30615841,1.095162995,0.722497839,2.102353931,0.854403048
10,Scomberomorus,MT,2013,1966.204,1559.289333,5864.957124,2462.385567,9366.475131,0.400993535,0.168355995,0.640396152,0.200496767,0.084177998,0.320198076,0.3352461,0.20991931,0.798495583,0.226772045,0.16339904,0.314723761,1.478339625,0.925684251,3.521137645,1.185609264
11,Scomberomorus,MT,2014,1442.296,1595.624,6194.731546,1752.700713,10345.32346,0.423540573,0.119834065,0.707321082,0.211770286,0.059917033,0.353660541,0.232826231,0.139415264,0.822899192,0.239522968,0.17258663,0.332420028,0.972041358,0.582053842,3.435575292,0.823397907
12,Scomberomorus,MT,2015,2331.932,1913.477333,6698.711133,558.1742933,11527.11347,0.457998209,0.038162987,0.788121358,0.228999104,0.019081494,0.394060679,0.348116519,0.202299735,4.17778466,0.259009638,0.186627616,0.359464446,1.34402921,0.781050994,16.12984249,1.23112594
13,Scomberomorus,MT_20,2005,5611.1712,5611.1712,14422.02252,7113.657791,21584.09241,0.807963868,0.398527908,1.209203963,0.403981934,0.199263954,0.604601982,0.389069646,0.259967901,0.788788464,0.282762719,0.203742736,0.392429969,1.375958072,0.919385348,2.789577302,1.375958072
