,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
2,Atrina,MT,0.282239296,0.163449697,0.487361077,24427.49352,6525.803016,91437.39681,1723.599645,378.3151102,7852.701768,12213.74676,3262.901508,45718.6984,2000,4.27,4.27,4944.50714,4797.479742,6910.488465,0.404831313,0.392793451,0.565795951,0.202415657,0.196396726,0.282897976,0.000863585,0.000617901,0.000890051,0.114259305,0.066169555,0.197299025,0.007558111,0.005407886,0.007789743,0.00611952,0.2
3,Atrina,MT_20,0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,2000,5.124,5.124,6228.786036,6057.564471,8721.199424,0.404387728,0.393271614,0.566201183,0.202193864,0.196635807,0.283100592,0.000822632,0.000587534,0.000845885,0.114134108,0.066097052,0.197082839,0.007207593,0.00514775,0.007411321,0.005829324,0.2
4,Atrina,MT_40,0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,2000,5.978,5.978,7354.156587,7148.082121,10282.57319,0.404291732,0.392962873,0.565280229,0.202145866,0.196481436,0.282640115,0.000812874,0.000581372,0.000836308,0.114107014,0.066081361,0.197036054,0.007123783,0.005094972,0.007329157,0.005760173,0.2
5,Atrina,MT_60,0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,2000,6.832,6.832,8226.517453,7998.892475,11507.60481,0.404061681,0.39288143,0.565218779,0.202030841,0.196440715,0.282609389,0.000830485,0.000593694,0.000854118,0.114042085,0.066043759,0.196923936,0.007282268,0.005205923,0.0074895,0.005884971,0.2
6,Callinectes,MT,1.191246217,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,2005,1957.488,1957.488,3090.182656,1824.678392,3886.270792,0.966337771,0.570599167,1.215284232,0.483168886,0.285299584,0.607642116,0.633453817,0.503693156,1.072785214,0.595623108,0.478716277,0.741079642,1.063514509,0.845657512,1.80111416,1.063514509,0.459150262
7,Callinectes,MT_20,1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,2005,2348.9856,2348.9856,3835.714469,2417.962771,4567.510873,1.015214778,0.639972438,1.208902429,0.507607389,0.319986219,0.604451215,0.612398451,0.514281337,0.971473022,0.597114029,0.481055717,0.741172283,1.025597158,0.861278269,1.626947241,1.025597158,0.459150262
8,Callinectes,MT_40,1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,2005,2740.4832,2740.4832,4375.627122,2545.643725,5473.518711,0.966902294,0.562522511,1.209508409,0.483451147,0.281261256,0.604754204,0.626306384,0.500680338,1.076538391,0.595623108,0.478716277,0.741079642,1.051514582,0.84059925,1.807415421,1.051514582,0.459150262
9,Callinectes,MT_60,1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,2005,3131.9808,3131.9808,5276.609752,2903.126223,6217.435928,1.02995325,0.566667695,1.213595213,0.514976625,0.283333848,0.606797607,0.593559302,0.503741548,1.078830392,0.595623108,0.478716277,0.741079642,0.996535046,0.845738759,1.811263493,0.996535046,0.459150262
10,Caranx,MT,0.476517896,0.455151477,0.49888733,693.1799087,602.9663606,796.890867,82.57815786,68.55000701,99.47704535,346.5899544,301.4831803,398.4454335,2005,140.5705,140.5705,403.7457659,356.7666155,429.5002893,1.164909025,1.029362251,1.239217363,0.582454513,0.514681125,0.619608682,0.34816588,0.327288487,0.394012483,0.238258948,0.227575738,0.249443665,1.461291941,1.373667139,1.653715365,1.461291941,0.2
11,Caranx,MT_20,0.463013068,0.436376446,0.491275603,832.8847676,703.9748032,985.4003765,96.40913295,82.05063683,113.280302,416.4423838,351.9874016,492.7001882,2005,168.6846,168.6846,496.1303858,421.7083859,518.2511247,1.191354207,1.012645212,1.244472573,0.595677103,0.506322606,0.622236286,0.340000542,0.32548815,0.400002954,0.231506534,0.218188223,0.245637801,1.468643393,1.405956646,1.727825762,1.468643393,0.2
12,Caranx,MT_40,0.466498721,0.438563792,0.496213004,974.3862128,843.6108102,1125.434241,113.6374806,97.24271568,132.7963426,487.1931064,421.8054051,562.7171204,2005,196.7987,196.7987,556.2989733,499.4388141,593.8515787,1.141844919,1.025135224,1.218924428,0.57092246,0.512567612,0.609462214,0.35376427,0.331393747,0.394039659,0.233249361,0.219281896,0.248106502,1.516678411,1.420770228,1.689349364,1.516678411,0.2
13,Caranx,MT_60,0.465333931,0.439936448,0.492197608,1113.098679,973.0175589,1273.346672,129.490646,115.4909212,145.1874073,556.5493397,486.5087794,636.6733359,2005,224.9128,224.9128,640.223557,597.6684895,676.3050113,1.150344653,1.073882308,1.215175301,0.575172326,0.536941154,0.60758765,0.351303537,0.332561191,0.376316978,0.232666965,0.219968224,0.246098804,1.509898649,1.429344257,1.617406139,1.509898649,0.2
14,Cephalopholis,MT,0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,2000,0.18,0.18,271.5193616,223.3694401,447.0342462,0.478934837,0.394002865,0.788526728,0.239467418,0.197001433,0.394263364,0.000662936,0.000402654,0.00080584,0.268826059,0.192229419,0.375943756,0.002466041,0.001497822,0.002997626,0.002362146,0.2
15,Cephalopholis,MT_20,0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,2000,0.216,0.216,324.5688451,268.9712637,499.362625,0.475537978,0.394079878,0.731634895,0.237768989,0.197039939,0.365817448,0.000665498,0.000432551,0.00080306,0.268928824,0.193774817,0.373230708,0.002474626,0.001608423,0.002986142,0.002353557,0.2
16,Cephalopholis,MT_40,0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,2000,0.252,0.252,376.076619,309.743874,634.5960679,0.47781898,0.393540822,0.806277313,0.23890949,0.196770411,0.403138657,0.000670076,0.000397103,0.000813575,0.268199728,0.191781549,0.375067856,0.002498422,0.001480624,0.003033468,0.002387587,0.2
