,Year,Status,Biomass_est,Biomass_lo,Biomass_hi,Catch_est,Catch_lo,Catch_hi
1,2005,No reserve,42121.38865,28588.19998,57103.70668,9019.22185,NA,NA
2,2006,No reserve,41996.12643,29483.66224,55238.61131,8017.178,NA,NA
3,2007,No reserve,41744.88009,30191.97776,53410.64513,7978.0832,NA,NA
4,2008,No reserve,40926.89758,30525.9482,50698.05438,6818.63245,NA,NA
5,2009,No reserve,40527.04626,30790.66313,48925.99787,7157.31925,NA,NA
6,2010,No reserve,39893.70706,30690.91165,48318.75906,5825.42893,NA,NA
7,2011,No reserve,39747.55003,30661.29067,48791.90098,5341.98411,NA,NA
8,2012,No reserve,39873.32711,30299.20289,50186.26095,4670.46155,NA,NA
9,2013,No reserve,40770.85322,29870.74767,52442.64213,6007.0743,NA,NA
10,2014,No reserve,41629.7817,28399.72786,54817.36297,4274.44485,NA,NA
11,2015,No reserve,42960.96313,25875.01839,57882.23422,5184.83241,NA,NA
11,2015,Reserve,42960.96313,25875.01839,57882.23422,5184.83241,NA,NA
12,2016,Reserve,44296.69824,27673.21847,62396.85152,6948.193881,2772.870896,15274.61638
13,2016,No reserve,43565.17582,27381.36264,60376.46037,7313.888296,2918.811469,16078.54356
14,2017,Reserve,46690.07506,27813.49958,70599.97034,6720.856423,2773.101655,12927.83448
15,2017,No reserve,45707.61182,27403.90283,67853.52148,7060.185453,2914.951812,13534.38063
16,2018,Reserve,49083.15398,27926.78054,80381.60144,6562.324795,2768.031236,11466.60418
17,2018,No reserve,47916.00271,27430.61861,77111.47873,6877.87215,2904.298003,11916.77222
18,2019,Reserve,51391.22403,27996.79542,91547.57841,6445.886809,2758.73227,10466.10209
19,2019,No reserve,50095.98967,27433.89807,87977.57167,6741.984339,2889.722424,10790.74789
20,2020,Reserve,53585.96139,28015.19591,103890.8508,6358.070834,2747.317703,9736.904969
21,2020,No reserve,52204.70541,27400.65834,100130.2067,6638.058261,2873.750502,9960.532975
22,2021,Reserve,55652.72848,27984.69955,116560.9413,6290.144282,2735.547035,9176.725937
23,2021,No reserve,54212.52068,27330.95359,112669.7019,6557.056133,2857.993754,9321.812843
24,2022,Reserve,57567.80057,27915.80687,128334.21,6236.38433,2724.342353,8728.399509
25,2022,No reserve,56085.23987,27232.60252,124339.405,6492.995647,2843.295349,8813.313627
26,2023,Reserve,59301.58157,27820.93201,138167.7569,6193.26555,2714.063823,8361.546619
27,2023,No reserve,57786.98028,27115.57849,134088.2835,6441.736101,2830.004233,8396.865034
28,2024,Reserve,60830.58172,27710.77777,145690.2928,6158.211505,2704.813693,8052.205644
29,2024,No reserve,59290.57999,26988.61134,141536.1798,6400.314207,2818.192669,8047.837544
30,2025,Reserve,62145.74615,27593.18021,151198.425,6129.572326,2696.568844,7790.045515
31,2025,No reserve,60584.86938,26858.05367,146977.6553,6366.558504,2807.794246,7750.030972
32,2026,Reserve,63254.03161,27473.32683,155299.9903,6105.94126,2689.259234,7561.549663
33,2026,No reserve,61675.48293,26728.02348,151016.4166,6338.850535,2798.682499,7492.590291
34,2027,Reserve,64174.74571,27354.42299,158563.6683,6086.422046,2682.794607,7364.848414
35,2027,No reserve,62580.91118,26600.96943,154221.4274,6315.967259,2790.712594,7267.952012
36,2028,Reserve,64934.12247,27238.33989,161391.8808,6070.158179,2677.083751,7189.583529
37,2028,No reserve,63326.81185,26478.23122,156992.365,6296.972187,2783.74188,7070.54112
38,2029,Reserve,65560.22452,27126.10508,164022.5842,6056.629324,2672.038584,7038.299449
39,2029,No reserve,63940.87189,26360.46179,159568.9105,6281.138411,2777.639021,6896.042633
40,2030,Reserve,66079.51203,27018.23203,166588.9698,6045.281348,2667.57901,6900.482412
41,2030,No reserve,64449.25797,26247.90858,162081.4085,6267.893843,2772.287204,6741.015345
42,2031,Reserve,66514.93215,26914.92904,169153.4521,6035.798581,2663.632557,6782.407049
43,2031,No reserve,64874.72375,26140.58854,164595.2226,6256.782284,2767.58444,6602.66895
44,2032,Reserve,66885.35359,26816.22655,171748.909,6027.804861,2660.135269,6671.667287
45,2032,No reserve,65235.97245,26038.39251,167139.5554,6247.435708,2763.442563,6478.715626
46,2033,Reserve,67205.66571,26722.0533,174380.621,6021.102327,2657.030614,6578.78252
47,2033,No reserve,65547.78591,25941.14573,169724.064,6239.554379,2759.785742,6367.261121
48,2034,Reserve,67487.33204,26632.28118,177052.8323,6015.426692,2654.269231,6487.886091
49,2034,No reserve,65821.52677,25848.6421,172347.9382,6232.89237,2756.54889,6266.72171
50,2035,Reserve,67738.98082,26546.75159,179753.1314,6010.65208,2651.807908,6414.761931
51,2035,No reserve,66065.75956,25760.66323,175004.7607,6227.246784,2753.676172,6175.760297
