Common Name ,NombreCientifico,Resilience,r_lo,r_hi
Atlantic Spanish mackerel,Scomberomorus,Medium,,
Crab,Callinectes,High,,
octopus,Octopus,Medium,,
Mollusc,Atrina,Low,,
White mullet,Mugil,Medium,,
Graysby,Cephalopholis,Medium,,
Diamond Stingray,Dasyatis,Low,,
Rooster Hind,Epinephelus,Very low,,
Gulf weakfish,Micropogonias,Medium,,
Yellowtail amberjack,Caranx,Low,,
Pacific angelshark,Squatina,Very low,,
Finescale triggerfish,Balistes,Low,,
Ocean whitefish,Caulolatilus,Low,,
Shovelnose guitarfish,Rhinobatos,Low,,
Yellow snapper,Lutjanus,Low,,
Bullseye puffer,Sphoeroides,Medium,,
Chocolate clam,Megapitaria,Low,,
lobster,Panulirus,Low,,
Gulf Grouper,Mycteroperca,Very low,,
Pacific barracuda,Sphyraena,Medium,,
Bared sand bass,Paralabrax,Medium,,
Mexican hogfish,Bodianus,Low,,
Snubnose pompano,Trachinotus,Medium,,
Queen conch,Strombus,High,,
Burrito Grunt ,Anisotremus,Low,,
Wavyline Grunt,Microlepidotus,Medium,,
Blacktip shark,Carcharhinus,Low,,
North Pacific Hake,Merluccius,Medium,,
"Pacific Spotted Scorpionfish, Stone Scorpionfish",Scorpaena,Low,,
Scalloped hammerhead,Sphyrna,Very low,,
Spanish Grunt,Haemulon,Medium,,
Bumphead parrotfish,Scarus,Medium,,
Roosterfish,Nematistius,Low,,
