"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Anisotremus","MT",0.282239296140523,0.163449696933239,0.487361076713619,116.49069252042,30.8055807419422,440.507243072719,8.2195627659713,1.76851571378588,38.2022119097334,58.2453462602099,15.4027903709711,220.25362153636,2005,1.4373,1.4373,27.6071591714664,22.9227728456493,37.6432282870864,0.473980514222235,0.393555439489401,0.646287312275835,0.236990257111118,0.196777719744701,0.323143656137917,0.0520625824291813,0.0381821662328857,0.062701838458989,0.133775926718407,0.0774719714018851,0.230999653752623,0.389177512773064,0.285418813156553,0.468707935703364,0.368925115255815
"3","Anisotremus","MT_20",0.282239296140523,0.163449696933239,0.487361076713619,140.775725171927,36.2319448934755,546.970494019785,9.93311039654906,2.02659908510378,48.6858416522865,70.3878625859635,18.1159724467377,273.485247009893,2005,1.72476,1.72476,33.4112635550592,27.7288545595659,45.6023192911706,0.474673648660018,0.393943693427274,0.647871914500562,0.237336824330009,0.196971846713637,0.323935957250281,0.0516221123202278,0.0378217605334372,0.0622009104737791,0.133971556494257,0.0775852640156746,0.231337460498528,0.38532143442284,0.282311869199328,0.464284450382162,0.365803862368802
"4","Anisotremus","MT_40",0.282239296140523,0.163449696933239,0.487361076713619,156.413885526873,41.1418946855024,594.656706324098,11.0365362394273,2.34978316762644,51.8367540640903,78.2069427634365,20.5709473427512,297.328353162049,2005,2.01222,2.01222,37.1997556597391,30.778703074816,50.5863937885584,0.475657970319366,0.39355461276522,0.646827404333835,0.237828985159683,0.19677730638261,0.323413702166917,0.0540922907775388,0.0397778898494069,0.0653770236877348,0.134249370746568,0.07774615109258,0.231817180562261,0.402923980028574,0.296298519897709,0.486981974844051,0.383308005066785
"5","Anisotremus","MT_60",0.282239296140523,0.163449696933239,0.487361076713619,190.00592237436,49.2670607304405,732.786774816156,13.4067844483676,2.77542479445207,64.7619310760233,95.0029611871799,24.6335303652203,366.393387408078,2005,2.29968,2.29968,45.0031189399491,37.4079439985729,61.2965884962965,0.473702275987814,0.393755558049077,0.645207135970495,0.236851137993907,0.196877779024539,0.322603567985248,0.051100458238653,0.0375172592213504,0.0614757122200497,0.133697396954965,0.0774264934467937,0.230864051267113,0.382209821600835,0.280613236127461,0.459812334571911,0.362107324794424
"6","Balistes","MT",0.282239296140523,0.163449696933239,0.487361076713619,1531.00326727455,462.463380636619,5068.44671934601,108.027321136102,30.1654222225139,386.863542825956,765.501633637273,231.231690318309,2534.22335967301,2000,10.449,10.449,427.757228743378,302.261643669349,803.339886182249,0.558793358429418,0.39485434176431,1.04942935570913,0.279396679214709,0.197427170882155,0.524714677854564,0.0244274071783568,0.0130069478432812,0.0345693878758576,0.141119648070262,0.0817248484666194,0.24368053835681,0.173097137871225,0.0921696448449563,0.24496509414937,0.173097137871225
"7","Balistes","MT_20",0.282239296140523,0.163449696933239,0.487361076713619,1856.23535643878,560.73507149492,6144.80861578248,130.975640118108,36.5773542650166,468.995602581221,928.117678219388,280.36753574746,3072.40430789124,2000,12.5388,12.5388,520.260980775228,366.858543146233,973.675064179414,0.56055497377591,0.395271582209336,1.04908578624149,0.280277486887955,0.197635791104668,0.524542893120746,0.0241009809755793,0.0128778074547563,0.0341788415024096,0.141119648070262,0.0817248484666194,0.24368053835681,0.170784021255352,0.0912545320999145,0.242197610111615,0.170784021255352
"8","Balistes","MT_40",0.282239296140523,0.163449696933239,0.487361076713619,2154.07131847609,650.251896356016,7135.73196953954,151.990893190795,42.3882210884623,544.991769405103,1077.03565923805,325.125948178008,3567.86598476977,2000,14.6286,14.6286,602.327035414439,425.180527842217,1128.22889794239,0.559245211844293,0.394769220680226,1.04753160980813,0.279622605922147,0.197384610340113,0.523765804904066,0.0242868062363075,0.0129659859153394,0.0344056207706403,0.141119648070262,0.0817248484666194,0.24368053835681,0.172100813518295,0.0918793810262609,0.243804610067552,0.172100813518295
"9","Balistes","MT_60",0.282239296140523,0.163449696933239,0.487361076713619,2490.00428287282,755.750281433715,8203.92857408253,175.694264046228,49.5226969947214,623.319736040143,1245.00214143641,377.875140716858,4101.96428704126,2000,16.7184,16.7184,693.841068276439,492.03939850268,1308.55022164219,0.557301104298445,0.395211688499583,1.05104254690876,0.278650552149223,0.197605844249792,0.525521273454382,0.0240954315972243,0.012776276923494,0.0339777669245097,0.141119648070262,0.0817248484666194,0.24368053835681,0.170744697331073,0.0905350679242966,0.240772758358869,0.170744697331073
"10","Cephalopholis","MT",0.565525438699537,0.407485471376748,0.784859938038403,1131.86937215232,703.355619881625,1821.45168020709,160.025230809252,119.72836601138,213.884773914985,565.93468607616,351.677809940813,910.725840103545,2000,0.18,0.18,270.369900085962,223.113170264553,459.986823700959,0.477740465000545,0.394238373709662,0.812791360943473,0.238870232500272,0.197119186854831,0.406395680471736,0.000665754582676439,0.000391315556719119,0.000806765462507513,0.270174386053954,0.194672298576494,0.374959351758765,0.00246416617207927,0.00144838140444954,0.00298609159177066,0.00235446378577553
"11","Cephalopholis","MT_20",0.565525438699537,0.407485471376748,0.784859938038403,1359.03789064696,849.147621367441,2175.10352939554,192.142624829355,145.305934036969,254.076260002713,679.518945323482,424.573810683721,1087.55176469777,2000,0.216,0.216,323.938582942718,267.457667190454,535.290316571535,0.47671751490094,0.393598543544848,0.787748921874006,0.23835875745047,0.196799271772424,0.393874460937003,0.000666793063172086,0.000403519348871192,0.000807604441738394,0.269595881750107,0.194255461272961,0.374156479206973,0.00247330581922668,0.00149675635344171,0.00299561119589718,0.00235813640746355
