"","."
"1","Mulege"
"2","Las casitas (laguna ojo de liebre)"
"3","El cardon en laguna san ignacio"
"4","Las barrancas"
"5","Sitio desembarco genérico"
"6","Laguna las flores y golfo de mexico"
"7","Bahia tortugas"
"8","El portuguez"
"9","Puerto san carlos (b.c.s.)"
"10","Bahia de la paz"
"11","La curva del diablo"
"12","La ribera"
"13","Estero la herradura"
"14","Buena vista"
"15","San bruno (en santa rosalia)"
"16","Puerto adolfo lopez mateos"
"17","San lucas"
"18","Tembabiche"
"19","Puerto can cun (o pto. ross)"
"20","Puerto chale"
"21","Santa rosalia (b.c.s.)"
"22","Bahia de san juanico"
"23","San evaristo"
"24","El datil en laguna de san ignacio"
"25","La ramadita (san nicolas)"
"26","El sargento"
"27","El sauzoso"
"28","Puerto escondido"
"29","San juan de la costa"
"30","Santa elenita"
"31","Estero san vicente"
"32","Ensenada blanca"
"33","San buto"
"34","Santa rosa"
"35","Playa el caracol"
"36","Bahia de lobos"
"37","San juanico ii (oceano pacifico)"
"38","Banderitas"
"39","Loreto"
"40","Punta bentonita"
"41","Lopez mateos"
"42","Los barriles"
"43","El chicharron"
"44","Puerto nuevo"
"45","Punta marquez"
"46","Estero san jose b.c.n."
"47","San andresito"
"48","Las animas"
"49","San nicolas"
"50","San juanico"
"51","Pichilingue"
"52","Punta lobos"
"53","San carlos"
"54","Punta el leon"
"55","Las casitas"
"56","Estero el delgadito (b.c.s.)"
"57","Santa maria"
"58","Agua verde"
"59","La herradura"
"60","Puerto san andresito"
"61","El centenario"
"62","Estero hombres solos"
"63","Playita de enmedio"
"64","Punta coyote"
"65","Estero el curry"
"66","Isla natividad"
"67","Bahia kino"
"68","Santa elenita, comondu"
"69","Ligui"
"70","Isla magdalena"
"71","El portuges"
"72","Puerto agua verde"
"73","Sitio emb desem generico"
"74","Laguna de san ignacio"
"75","Pailabote"
"76","Aguas litorales (lopez mateos)"
"77","San cristobal"
"78","Campo pesquero el delgadito"
"79","Bahia ballenas"
"80","El conejo"
"81","P. santa rosa constitucion"
"82","Las playitas"
"83","Punta eugenia"
"84","Centenario"
"85","Punta cono (varadero)"
"86","El cayuco"
"87","Malarrimo"
"88","Ensenada de cortez"
"89","Bahia concepcion b.c.sur."
"90","Pto cancun"
"91","Isla del carmen"
"92","Bajo del 23"
"93","Ensenada de muertos"
"94","La trinidad"
"95","El saladito"
"96","Boca de alamo"
"97","Ciudad constitucion"
"98","Las tinajas"
"99","Estero el datil"
"100","Ensenada de la paz"
"101","Punta coyote ii (cerca de puerto mejia)"
"102","Cabo san lucas"
"103","La paz"
"104","El datil ii (campo pesquero de san jose de gracia)"
"105","Roca lobos"
"106","Buena vista (en los cabos)"
"107","San jorge"
"108","Los frailes"
"109","Isla san diego"
"110","El barril"
"111","Arroyo guadalupe"
"112","Punta arena"
"113","El sahuimaro"
"114","Bocana de san venancio"
"115","San rafael"
"116","El datil"
"117","El delgadito"
"118","San bruno"
"119","La florida"
"120","Loma amarilla, comondu"
"121","Guaymas"
"122","Santo domingo"
"123","Bahia la ventana"
"124","Puerto viejo (en b.c.n.)"
"125","El cajete"
"126","Estero santo domingo"
"127","El barril b.c.n."
"128","La pithaya"
"129","No considerado"
"130","Estero salinas"
"131","Santa rosa, comondu"
"132","Barrio de la playa"
"133","Medano amarillo"
"134","Boca del carrizal"
"135","Estero el cayuco"
"136","Barrio la playa"
"137","El remate (bahia concepcion)"
"138","Rec portuario"
"139","Balneario venecia"
"140","Puerto libertad"
"141","Puerto peã‘asco"
"142","La cinita"
"143","R. portuario pco"
"144","Estero san jose"
"145","Puerto peñasco"
"146","El juncalito (b.c.s.)"
"147","El mero"
"148","Estero cancun"
"149","Paraje nuevo"
"150","La ventana"
"151","Bahia yavaros"
"152","La joya"
"153","Yavaros"
"154","Estero san jorge"
"155","Golfo de santa clara"
"156","Santa barbara"
