"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"1","Atrina","IUU_20",0.282239296,0.163449697,0.487361077,18680.05499,5600.735239,62303.32972,0.155271791,0.083055129,1.593269176,2946.27631,287.1288837,5508.071653,0.02,1318.061393,362.7205288,4789.59887,9340.027493,2800.367619,31151.66486,0.089031317,0.051559588,0.153736206,22500,25000,23750,1.7,105481843.261119,47486096.4637654,233659932.553559,21912770.658625,5712848.3286,83817980.225
"2","Atrina","IUU_0",0.282239296,0.163449697,0.487361077,15566.53424,4767.808176,50823.56068,0.153899322,0.082948646,1.634663536,2477.12593,233.2149655,4595.952056,0.02,1098.371917,315.1631404,3827.925009,7783.267119,2383.904088,25411.78034,0.089826325,0.052019991,0.155108998,22500,25000,23750,1.7,87122565.7804101,40894878.234408,185092018.758963,18260433.120125,4963819.4613,66988687.6575
"3","Atrina","IUU_20_legal",0.282239296,0.163449697,0.487361077,18680.05499,5600.735239,62303.32972,0.124217433,0.066444103,1.274615341,2946.27631,287.1288837,5508.071653,0.02,1318.061393,362.7205288,4789.59887,9340.027493,2800.367619,31151.66486,0.089031317,0.051559588,0.153736206,22500,25000,23750,1.7,105481843.261119,47486096.4637654,233659932.553559,21912770.658625,5712848.3286,83817980.225
"4","Atrina","IUU_60_legal",0.282239296,0.163449697,0.487361077,24797.73003,7555.530057,81387.72663,0.062510915,0.033329738,0.654612653,3903.093092,372.7180015,7320.367214,0.02,1749.723468,496.93399,6160.842838,12398.86502,3777.765028,40693.86332,0.088847346,0.051453047,0.153418531,22500,25000,23750,1.7,140316849.864035,65191560.6183634,301178227.843936,29089152.6555,7826710.3425,107814749.665
"5","Atrina","IUU_40_legal",0.282239296,0.163449697,0.487361077,22069.58501,6644.657724,73301.98223,0.090622678,0.049086849,0.955852948,3533.679741,335.0217423,6523.774155,0.02,1557.226035,432.0547666,5612.605416,11034.7925,3322.328862,36650.99111,0.090381698,0.052341617,0.156067997,22500,25000,23750,1.7,122759759.385966,55717989.6553444,269719234.110501,25888882.831875,6804862.57395,98220594.78
"6","Atrina","IUU_60",0.282239296,0.163449697,0.487361077,24797.73003,7555.530057,81387.72663,0.156277287,0.083324345,1.636531634,3903.093092,372.7180015,7320.367214,0.02,1749.723468,496.93399,6160.842838,12398.86502,3777.765028,40693.86332,0.088847346,0.051453047,0.153418531,22500,25000,23750,1.7,140316849.864035,65191560.6183634,301178227.843936,29089152.6555,7826710.3425,107814749.665
"7","Atrina","IUU_40",0.282239296,0.163449697,0.487361077,22069.58501,6644.657724,73301.98223,0.151037796,0.081811416,1.593088247,3533.679741,335.0217423,6523.774155,0.02,1557.226035,432.0547666,5612.605416,11034.7925,3322.328862,36650.99111,0.090381698,0.052341617,0.156067997,22500,25000,23750,1.7,122759759.385966,55717989.6553444,269719234.110501,25888882.831875,6804862.57395,98220594.78
"8","Callinectes","IUU_40",1.194228058,0.962111433,1.482344565,9410.377847,6904.238455,12826.20984,0.246228131,0.199425559,0.377148019,4529.068202,2956.886804,5591.981322,0.46,2809.534315,2338.841264,3374.954594,4705.188924,3452.119227,6413.104922,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2470224.18455856,2187851.70117831,2732121.53617461,3441679.535875,2455783.3272,4724936.4316
"9","Callinectes","IUU_20_legal",1.191246217,0.957432554,1.482159284,8089.880417,5923.051396,11049.40018,0.194631125,0.159002648,0.292683113,3928.958435,2612.715142,4809.338767,0.46,2409.25986,2006.768439,2892.477756,4044.940208,2961.525698,5524.70009,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2123593.61064279,1886390.41732437,2341835.55348563,2951343.3285,2107106.86095,4049468.8584
"10","Callinectes","IUU_0",1.191246217,0.957432554,1.482159284,6726.303752,4913.227914,9208.439534,0.248136013,0.199062168,0.381305943,3210.174891,2089.031172,4001.563971,0.46,2003.170974,1660.910482,2415.960399,3363.151876,2456.613957,4604.219767,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,1765654.73572929,1561279.09747259,1956033.00542427,2453884.44315,1743956.0061,3382344.5586
