Genus,Common
Alphestes,Grouper
Anyperodon,Grouper
Aethaloperca,Grouper
Cephalopholis,Grouper
Chromileptes,Grouper
Dermatolepis,Grouper
Epinephelus,Grouper
Gonioplectrus,Grouper
Gracila,Grouper
Hyporthodus,Grouper
Mycteroperca,Grouper
Paranthias,Grouper
Plectropomus,Grouper
Saloptia,Grouper
Triso,Grouper
Variola,Grouper
Aphareus,Snapper
Aprion,Snapper
Apsilus,Snapper
Etelis,Snapper
Hoplopagrus,Snapper
Lipocheilus,Snapper
Lutjanus,Snapper
Macolor,Snapper
Ocyurus,Snapper
Paracaesio,Snapper
Parapristipomoides,Snapper
Pinjalo,Snapper
Pristipomoides,Snapper
Randallichthys,Snapper
Rhomboplites,Snapper
Symphorichthys,Snapper
Symphorus,Snapper
Abalistes,Triggerfish
Balistapus,Triggerfish
Balistes,Triggerfish
Balistoides,Triggerfish
Canthidermis,Triggerfish
Melichthys,Triggerfish
Odonus,Triggerfish
Pseudobalistes,Triggerfish
Rhinecanthus,Triggerfish
Sufflamen,Triggerfish
Xanthichthys,Triggerfish
Xenobalistes ,Triggerfish
Bolbometopon,Parrotfish
Calotomus,Parrotfish
Cetoscarus,Parrotfish
Chlorurus,Parrotfish
Cryptotomus,Parrotfish
Hipposcarus,Parrotfish
Leptoscarus,Parrotfish
Nicholsina,Parrotfish
Scarus,Parrotfish
Sparisoma ,Parrotfish
Anisotremus,Grunt
Boridia,Grunt
Brachydeuterus,Grunt
Conodon,Grunt
Emmelichthyops,Grunt
Haemulon,Grunt
Haemulopsis,Grunt
Isacia,Grunt
Microlepidotus,Grunt
Orthopristis,Grunt
Parakuhlia,Grunt
Pomadasys,Grunt
Xenichthys,Grunt
Xenistius,Grunt
Xenocys,Grunt
Diagramma,Grunt
Genyatremus,Grunt
Parapristipoma,Grunt
Plectorhinchus,Grunt
Octopus,Octopus 
